imdb_id,youtube_id,genres,title,duration
tt0042004,BBPnal-FYi8,"['Crime', 'Drama', 'Romance']",Under Capricorn (1949),123.9
tt0042200,BCgTBlOyY7s,"['Biography', 'Comedy', 'Musical', 'Romance', 'Western']",Annie Get Your Gun (1950),161.1
tt0042372,FAovEnNIQ_4,"['Romance', 'Western']",Dallas (1950),147.5
tt0042744,CAbCaNlWR5c,['Western'],Montana (1950),138.3
tt0042871,Am45xtLQreA,"['Animation', 'Family', 'Comedy', 'Music']",Rabbit of Seville (1950),28.6
tt0043030,iTbkZCWszyU,"['Comedy', 'Musical', 'Romance']",Tea for Two (1950),156.6
tt0043262,UxHYq7HBy40,"['Adventure', 'Romance', 'Western']",Across the Wide Missouri (1951),144.5
tt0043265,HUKpm2bcIz8,"['Adventure', 'Drama', 'Romance', 'War']",The African Queen (1951),55.9
tt0043274,UetmdGJdblc,"['Animation', 'Adventure', 'Family', 'Fantasy', 'Musical']",Alice in Wonderland (1951),65.7
tt0043379,s2l0p-fg4lU,"['Action', 'Adventure', 'Drama', 'History', 'War']",Captain Horatio Hornblower R.N. (1951),161.1
tt0043469,LJWSX9EVc1E,"['Action', 'Drama', 'Western']",Distant Drums (1951),132.2
tt0043547,6534XxR_2bo,"['Action', 'Drama', 'War']",Flying Leathernecks (1951),110.0
tt0043899,5HMCBGgweqI,"['Drama', 'Fantasy', 'Mystery', 'Romance']",Pandora and the Flying Dutchman (1951),195.4
tt0043972,j-DxgFYOVM0,"['Drama', 'Romance']",The River (1951),155.3
tt0044186,j2srpV2RN-4,['Western'],Vengeance Valley (1951),154.7
tt0044320,qwqSxCft_BE,"['Adventure', 'Comedy', 'Music', 'Romance']",Abbott and Costello Meet Captain Kidd (1952),147.8
tt0044386,f195WWXMt-A,"['Adventure', 'Drama']",Robinson Crusoe (1954),114.3
tt0044926,CKyh4zKkths,"['Biography', 'Drama', 'Music', 'Romance']",Moulin Rouge (1952),193.3
tt0045125,yzYEYyOsQtA,"['Action', 'Adventure', 'Comedy', 'Drama', 'Romance']",Scaramouche (1952),209.5
tt0045591,glyBP-nHCEk,"['Comedy', 'Musical', 'Romance', 'Western']",Calamity Jane (1953),178.6
tt0045810,ur9GKLl8v4U,"['Comedy', 'Musical', 'Romance']",Gentlemen Prefer Blondes (1953),154.9
tt0045883,Ez-PxYIF3Tw,"['Drama', 'Romance', 'War', 'Western']",Hondo (1953),167.7
tt0045888,M5RkKx-9tEM,['Horror'],House of Wax (1953),121.8
tt0045963,ZiTQMypUgs8,"['Comedy', 'Musical', 'Romance']",Kiss Me Kate (1953),201.0
tt0046000,oJ5cPp7uJls,"['Drama', 'Musical', 'Romance']",Lili (1953),193.6
tt0046126,8xvv1lQ65Nw,['Thriller'],Niagara (1953),181.5
tt0046183,4GVdbBpVVoc,"['Animation', 'Adventure', 'Family', 'Fantasy', 'Musical']",Peter Pan (1953),85.8
tt0046303,SWdPmapuOd4,"['Drama', 'Western']",Shane (1953),118.1
tt0046534,K_4B9qa_iM0,"['Action', 'Sci-Fi', 'Thriller']",The War of the Worlds (1953),140.5
tt0046672,eC39LB1PTNg,"['Adventure', 'Drama', 'Family', 'Fantasy', 'Sci-Fi']","20,000 Leagues Under the Sea (1954)",20.4
tt0046719,tsZFyEX8mek,['Western'],Apache (1954),156.8
tt0046754,f2mQJi3oQ_g,"['Crime', 'Drama', 'Mystery', 'Romance']",The Barefoot Contessa (1954),111.8
tt0046808,dN_z0v8Zfmo,"['Adventure', 'Western']",Broken Lance (1954),154.7
tt0046816,rvadHfKm0dk,"['Drama', 'War']",The Caine Mutiny (1954),111.6
tt0046912,rHVYaFCXVFM,"['Crime', 'Thriller']",Dial M for Murder (1954),158.3
tt0047136,ACgSyxdV9vE,"['Drama', 'Western']",Johnny Guitar (1954),179.7
tt0047348,s1EI1MjO0M0,"['Crime', 'Horror', 'Mystery']",Phantom of the Rue Morgue (1954),148.1
tt0047396,6kCcZCMYw38,"['Mystery', 'Thriller']",Rear Window (1954),160.1
tt0047603,-yxsmYZGYGc,"['Drama', 'Western']",Track of the Cat (1954),180.8
tt0047630,4Z_y_2dpoJo,"['Adventure', 'Fantasy', 'History']",Ulysses (1954),68.9
tt0047673,3n3-UtakD3I,"['Comedy', 'Musical', 'Romance']",White Christmas (1954),148.0
tt0047834,YGCo5Tva39s,"['Animation', 'Drama']",Animal Farm (1954),130.0
tt0047849,vWpvrb6i9bI,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Western']",Bad Day at Black Rock (1955),197.7
tt0047935,RWouWXiKCpE,"['Biography', 'Western']",Chief Crazy Horse (1955),142.0
tt0047947,V6EYuMosAcU,['Sci-Fi'],Conquest of Space (1955),171.9
tt0048056,79WpzR1KRq8,"['History', 'Western']",The Far Horizons (1955),137.7
tt0048233,a3cQ38DsxS4,"['Drama', 'Romance', 'Western']",Jubal (1956),42.5
tt0048281,EoPaqgKWWv0,"['Comedy', 'Crime']",The Ladykillers (1955),151.0
tt0048545,AnQ5CPEMjPI,['Drama'],Rebel Without a Cause (1955),145.2
tt0048605,fJgC549mpRk,"['Comedy', 'Romance']",The Seven Year Itch (1955),141.9
tt0048728,5PAUVYq-nAM,"['Mystery', 'Romance', 'Thriller']",To Catch a Thief (1955),136.4
tt0048750,Y8FH4eKZJ4s,"['Comedy', 'Mystery']",The Trouble with Harry (1955),146.0
tt0048789,i76CyKNdfU8,['Western'],The Violent Men (1955),39.2
tt0048937,IuEYgMPqwA4,"['Biography', 'Drama', 'History', 'War']",Alexander the Great (1956),170.3
tt0048960,vjiCO8k6Jhg,"['Adventure', 'Comedy', 'Family', 'Romance']",Around the World in 80 Days (1956),188.7
tt0049189,Kmqv88jWhyE,"['Drama', 'Romance']",...And God Created Woman (1956),159.2
tt0049223,wGHUye0TiKs,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",Forbidden Planet (1956),60.1
tt0049261,kMG_ipol-MI,"['Drama', 'Western']",Giant (1956),109.7
tt0049367,ZCoo3nTdpXk,"['Animation', 'Fantasy', 'Musical']",Invitation to the Dance (1956),205.1
tt0049456,2Z3xHMNHQUs,"['Biography', 'Drama']",Lust for Life (1956),181.2
tt0049470,eBjZ84THVCg,"['Drama', 'Thriller']",The Man Who Knew Too Much (1956),33.7
tt0049471,CXyFkINMcI8,"['War', 'Drama']",The Man Who Never Was (1956),109.8
tt0049730,XYOp3l9wL1k,"['Adventure', 'Drama', 'Western']",The Searchers (1956),168.0
tt0049833,EiLmKxiTT3g,"['Adventure', 'Drama']",The Ten Commandments (1956),103.2
tt0049966,862Yc-cwQEY,['Drama'],Written on the Wind (1956),165.7
tt0050099,6cVU5DxGpYc,"['Action', 'Crime', 'Drama', 'Mystery']",Action of the Tiger (1957),129.6
tt0050105,dW0LCcCKsBQ,"['Drama', 'Romance']",An Affair to Remember (1957),171.3
tt0050166,SiwLDrgVFeE,"['Drama', 'History', 'Romance']",Band of Angels (1957),132.4
tt0050171,tl1mqUg1pnQ,"['Biography', 'Drama', 'History', 'War']",Battle Hymn (1957),166.9
tt0050212,t5hZ4Xv5VjE,"['Adventure', 'Drama', 'War']",The Bridge on the River Kwai (1957),124.9
tt0050419,X6VLdVrVQGQ,"['Comedy', 'Musical', 'Romance']",Funny Face (1957),146.1
tt0050467,Kf4NoFq9ffI,"['Romance', 'Western']",Gun Glory (1957),126.7
tt0050468,xhvD9zcPXU4,"['Biography', 'Drama', 'Western']",Gunfight at the O.K. Corral (1957),133.4
tt0050490,GVsxx2TlKrc,"['Adventure', 'Drama', 'War']","Heaven Knows, Mr. Allison (1957)",193.8
tt0050599,g9oKZY8Ev6U,"['Comedy', 'Romance']",Kiss Them for Me (1957),137.9
tt0050706,vqVpQ6S0BDA,['Comedy'],Mon Oncle (1958),59.0
tt0050798,McSI-8TYPNQ,"['Adventure', 'Drama', 'Family', 'Western']",Old Yeller (1957),83.4
tt0050894,PxrXFxOt5JA,"['Horror', 'Sci-Fi']",The Revenge of Frankenstein (1958),130.7
tt0051047,S4SJ_NS1fS8,"['Romance', 'Thriller', 'Western']",The Tall T (1957),129.2
tt0051133,ZI9iNfgQim0,['Comedy'],La Parisienne (1957),95.4
tt0051198,C7ed_cGw5-E,"['Biography', 'Drama', 'War']",The Wings of Eagles (1957),204.3
tt0051393,yULWLiFnBzU,"['Romance', 'Western']",The Badlanders (1958),145.6
tt0051406,nDBbmP2TctE,"['Comedy', 'Romance', 'Fantasy']",Bell Book and Candle (1958),157.3
tt0051435,-cv983slQig,"['Drama', 'Romance']",The Brothers Karamazov (1958),139.1
tt0051459,TWsG_Qj1wUo,['Drama'],Cat on a Hot Tin Roof (1958),138.6
tt0051554,8Y0UvD8albI,['Horror'],Horror of Dracula (1958),130.8
tt0051658,jEofRODHZ1w,"['Comedy', 'Musical', 'Romance']",Gigi (1958),200.5
tt0051776,wHUSIJx3630,"['Biography', 'Drama', 'War']",The Inn of the Sixth Happiness (1958),183.2
tt0051899,ODwt-fjh0nw,"['Drama', 'Romance', 'Western']",Man of the West (1958),186.0
tt0052199,yTD2nfA2NNY,"['Adventure', 'Family', 'Fantasy']",The Singing Ringing Tree (1957),86.1
tt0052357,c2u96ONO5K0,"['Mystery', 'Romance', 'Thriller']",Vertigo (1958),142.7
tt0052365,z0FF9JLIj1c,"['Action', 'Adventure', 'History']",The Vikings (1958),202.9
tt0052864,rLnwlvW0DRs,"['Adventure', 'Drama', 'Romance']",Green Mansions (1959),177.7
tt0052902,o5kYw5IUh2g,"['Adventure', 'Romance', 'War', 'Western']",The Horse Soldiers (1959),82.3
tt0052905,qQRQ8MXqS10,"['Horror', 'Mystery']",The Hound of the Baskervilles (1959),124.3
tt0052918,HaanE7v6uJI,['Drama'],Imitation of Life (1959),141.0
tt0052948,ld5RyBXiROY,"['Adventure', 'Family', 'Fantasy', 'Romance', 'Sci-Fi']",Journey to the Center of the Earth (1959),200.3
tt0052993,l_qXQQZ2wHs,"['Romance', 'Western']",Last Train from Gun Hill (1959),163.4
tt0053084,p7L7WLFBYR4,['Comedy'],The Mouse That Roared (1959),145.0
tt0053126,E_WrGE7Ew-Q,"['Adventure', 'Drama']",North West Frontier (1959),146.8
tt0053143,XyTWmH27oAs,"['Comedy', 'Romance', 'War']",Operation Petticoat (1959),140.1
tt0053172,jVaCxZgZbOY,"['Comedy', 'Romance']",Pillow Talk (1959),140.7
tt0053220,BmDVU-B8dKg,"['Drama', 'Western']",Ride Lonesome (1959),122.1
tt0053221,WPO12ZzGS84,"['Action', 'Drama', 'Western']",Rio Bravo (1959),165.1
tt0053250,r9PJdae6QrA,['Sci-Fi'],First Spaceship on Venus (1960),54.9
tt0053290,_sgJPI1QOmk,"['Drama', 'History', 'Romance', 'War']",Solomon and Sheba (1959),112.0
tt0053434,qgLUMPjuHy4,"['Drama', 'Western']",Warlock (1959),167.5
tt0053579,8QSIB7EOKSk,"['Comedy', 'Drama']",Late Autumn (1960),132.9
tt0053622,FH0xqOJyycI,['Drama'],BUtterfield 8 (1960),43.5
tt0053715,EUwIYYhSQHc,"['Drama', 'Romance', 'Western']",Cimarron (1960),161.8
tt0053729,4r8kv1a-_BI,"['Drama', 'Western']",Comanche Station (1960),148.7
tt0053793,xU2_1OgFSWY,['Drama'],Elmer Gantry (1960),194.5
tt0053804,6gmBfWDW9tU,"['Action', 'Drama', 'History', 'War']",Exodus (1960),166.9
tt0054038,h1CLA-gJbmA,"['Adventure', 'Fantasy', 'Sci-Fi']",The Lost World (1960),177.6
tt0054047,oam0x6wNK94,"['Action', 'Adventure', 'Western']",The Magnificent Seven (1960),162.8
tt0054127,UhZeTaaus2Y,"['Comedy', 'Romance', 'Western']",North to Alaska (1960),177.9
tt0054135,D-ApgblbT0A,"['Comedy', 'Crime', 'Music', 'Thriller']",Ocean's 11 (1960),191.1
tt0054188,knOY2dCfNI4,"['Comedy', 'Family', 'Romance']",Please Don't Eat the Daisies (1960),181.2
tt0054195,XVtLP5tfpCA,"['Comedy', 'Drama', 'Family']",Pollyanna (1960),86.4
tt0054292,9uOlmoPe-HA,"['Crime', 'Western']",Sergeant Rutledge (1960),148.1
tt0054331,I98o9rJtGSo,"['Adventure', 'Biography', 'Drama', 'History', 'War']",Spartacus (1960),165.6
tt0054387,2GZnAbgGFxg,"['Adventure', 'Romance', 'Sci-Fi', 'Thriller']",The Time Machine (1960),60.5
tt0054483,jnepiAcqb_g,"['Drama', 'Romance']",The World of Suzie Wong (1960),186.2
tt0054494,lpt0xB7qSj4,"['Comedy', 'Fantasy']",Zazie dans le Métro (1960),83.4
tt0054698,urQVzgEO_w8,"['Comedy', 'Drama', 'Romance']",Breakfast at Tiffany's (1961),158.5
tt0054847,1ZzCrkIf5Sc,"['Biography', 'Drama', 'History', 'Romance', 'War']",El Cid (1961),207.1
tt0055073,tz6kC7MOEDM,"['Drama', 'Romance', 'Western']",The Last Sunset (1961),148.9
tt0055254,q1kLx5WZw4I,"['Animation', 'Adventure', 'Comedy', 'Family']",101 Dalmatians (1961),62.9
tt0055277,yu0t4bfp_Zo,"['Comedy', 'Family', 'Romance']",The Parent Trap (1961),30.1
tt0055304,QChBy15UiTs,"['Drama', 'Horror', 'Mystery']",Pit and the Pendulum (1961),154.3
tt0055558,3vz_oWIbGTs,['Western'],Two Rode Together (1961),36.3
tt0055614,IakulTGwc0U,"['Crime', 'Drama', 'Musical', 'Romance']",West Side Story (1961),79.2
tt0055719,oRVE6o5Yz9Y,"['Adventure', 'Drama', 'History', 'War']",The 300 Spartans (1962),155.2
tt0055850,udPdGpXms1w,"['Action', 'Drama', 'History']",Chushingura (1962),147.6
tt0055894,FqrLqg3w6AU,"['Horror', 'Sci-Fi']",Invasion of the Triffids (1963),139.6
tt0055928,pw61uyA0F8A,"['Action', 'Adventure', 'Thriller']",Dr. No (1962),200.8
tt0056023,e75ncIrK4BA,"['Comedy', 'Musical']",Girls! Girls! Girls! (1962),187.2
tt0056085,6RQbcUP8PO0,['Western'],How the West Was Won (1962),182.6
tt0056095,sBVu7oLdd1I,"['Adventure', 'Family', 'Fantasy']",In Search of the Castaways (1962),31.2
tt0056255,r1fucFnmBm8,"['Comedy', 'Family']",Mr. Hobbs Takes a Vacation (1962),176.1
tt0056552,Y58nHVXTO1c,"['Comedy', 'Horror', 'Mystery', 'Thriller']",Tales of Terror (1962),138.7
tt0056556,v_H7UOQN8Z0,"['Adventure', 'Drama', 'History', 'Romance', 'War']",Taras Bulba (1962),125.0
tt0056800,9tFTi92Zjog,"['Action', 'Adventure', 'Drama', 'History', 'War']",55 Days at Peking (1963),200.5
tt0056907,Bz7CLziCEUk,"['Drama', 'History', 'War']",The Cardinal (1963),62.2
tt0056943,Pd_qsd_uc18,"['Comedy', 'Horror']",The Comedy of Terrors (1963),154.8
tt0057007,fxCDQVh89bE,"['Adventure', 'Comedy', 'Romance']",Donovan's Reef (1963),159.2
tt0057036,3GPBWgNtk2s,"['Adventure', 'Fantasy']","Hercules, Samson & Ulysses (1963)",136.4
tt0057076,VqAOf66o1Wg,"['Action', 'Adventure', 'Thriller']",From Russia with Love (1963),135.8
tt0057115,xkwmIDx9RwQ,"['Adventure', 'Drama', 'History', 'Thriller', 'War']",The Great Escape (1963),162.2
tt0057128,CIxey5Y0inY,['Horror'],The Haunted Palace (1963),139.0
tt0057171,A6Rrj3LgAPs,"['Comedy', 'Romance']","Yesterday, Today and Tomorrow (1963)",156.9
tt0057191,LAUno33GQvQ,"['Comedy', 'Musical', 'Romance']",It Happened at the World's Fair (1963),157.9
tt0057193,Sla845GW9YM,"['Action', 'Adventure', 'Comedy', 'Crime']",It's a Mad Mad Mad Mad World (1963),198.5
tt0057197,C-ZQGRM7GW0,"['Action', 'Adventure', 'Family', 'Fantasy']",Jason and the Argonauts (1963),180.7
tt0057298,8Cbh2UqXk-s,"['Comedy', 'Romance', 'Western']",McLintock! (1963),166.6
tt0057345,2wjDWnKTROI,"['Drama', 'Romance']",Contempt (1963),150.4
tt0057372,1DUkGjWVOlc,"['Comedy', 'Romance', 'Sci-Fi']",The Nutty Professor (1963),138.4
tt0057380,SC-juGxdrKQ,"['Western', 'Adventure']",Old Shatterhand (1964),211.9
tt0057426,LZ4TVr_FVTg,"['Crime', 'Drama', 'Mystery', 'Thriller']",The Prize (1963),207.5
tt0057449,Uy3ktfRztss,"['Comedy', 'Fantasy', 'Horror']",The Raven (1963),143.5
tt0057546,EMDq_1cwzWQ,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",The Sword in the Stone (1963),30.9
tt0057693,4clwgHEOYMo,"['Horror', 'Sci-Fi', 'Thriller']",X: The Man with the X,147.0
tt0058089,9l5T1rnDQIc,"['Comedy', 'Crime', 'Adventure', 'Fantasy']",Fantomas (1964),83.6
tt0058100,3YusEFOIxBY,"['Adventure', 'Sci-Fi']",First Men in the Moon (1964),202.2
tt0058135,nKc7mCUCDY4,"['Adventure', 'Comedy', 'Crime']",The Troops of St. Tropez (1964),182.7
tt0058150,B8H83OOs8ow,"['Action', 'Adventure', 'Thriller']",Goldfinger (1964),98.2
tt0058262,q92KrKaoBuY,"['Crime', 'Drama', 'Mystery', 'Thriller']",The Killers (1964),62.9
tt0058324,xKAVEyrgNYc,"['Comedy', 'Romance']",Man's Favorite Sport? (1964),114.0
tt0058333,G4Q-Vhvm6t8,['Horror'],The Masque of the Red Death (1964),147.0
tt0058385,j2OBKPuftKk,"['Drama', 'Family', 'Musical', 'Romance']",My Fair Lady (1964),60.1
tt0058453,27WeoqQyP_Y,"['Comedy', 'Romance']",Paris When It Sizzles (1964),167.9
tt0058461,kYITXX-LoR4,['Western'],A Fistful of Dollars (1964),142.3
tt0058529,JRpsNchGxL4,"['Comedy', 'Crime', 'Musical']",Robin and the 7 Hoods (1964),63.6
tt0058567,nD93LgYus3E,"['Horror', 'Mystery', 'Thriller']",Blood and Black Lace (1964),100.5
tt0058571,wJuDJNhSMGs,"['Comedy', 'Drama', 'Romance']",Send Me No Flowers (1964),121.0
tt0058642,eTs4JCS_TnQ,"['Drama', 'Music', 'Romance']",Shadows of Forgotten Ancestors (1964),101.2
tt0058708,Vk10MoMpMIA,"['Biography', 'Comedy', 'Musical', 'Romance', 'Western']",The Unsinkable Molly Brown (1964),179.6
tt0058725,4CUpdmvx9Ok,"['Comedy', 'Musical']",Viva Las Vegas (1964),179.4
tt0058777,7FX-a-KuNv8,"['Drama', 'History', 'War']",Zulu (1964),182.2
tt0058886,aZHbjT-pZ_I,"['Biography', 'Drama', 'History']",The Agony and the Ecstasy (1965),168.1
tt0059017,koAA9MvqSpI,"['Comedy', 'Romance', 'Western']",Cat Ballou (1965),140.2
tt0059037,ZIxuNgT2PHU,['Drama'],The Cincinnati Kid (1965),181.2
tt0059079,C4SMPQyiLy4,"['Action', 'Crime']",Come Drink with Me (1966),65.0
tt0059113,M1iQ5hQTR5s,"['Drama', 'Romance', 'War']",Doctor Zhivago (1965),113.0
tt0059125,cqXG4ooQP6A,['Horror'],Dr. Terror's House of Horrors (1965),59.9
tt0059168,ILYL586QI38,"['Adventure', 'Comedy', 'Crime', 'Fantasy']",Fantomas Unleashed (1965),192.0
tt0059183,V0hIoLNecqI,"['Adventure', 'Drama']",The Flight of the Phoenix (1965),188.8
tt0059243,Qng4rP5xjDE,"['Action', 'Adventure', 'Comedy', 'Family', 'Romance', 'Sport', 'Western']",The Great Race (1965),172.4
tt0059244,H8CK4cY_PTw,['Western'],The Great Sioux Massacre (1965),161.8
tt0059245,on3M7YWlewo,"['Biography', 'Drama', 'History']",The Greatest Story Ever Told (1965),209.4
tt0059263,7kkgIe1TI5k,"['Action', 'Drama', 'History', 'War']",The Heroes of Telemark (1965),65.0
tt0059319,Ui5ec35Toc4,['Thriller'],The Ipcress File (1965),181.9
tt0059578,Ku9NtEG6ivU,['Western'],For a Few Dollars More (1965),76.0
tt0059727,dtwIPc0dalM,"['Horror', 'Thriller']",The Skull (1965),127.7
tt0059740,fmwix09CP6U,['Western'],The Sons of Katie Elder (1965),191.6
tt0059793,QfqVYCRdtdc,"['Comedy', 'Crime', 'Family', 'Thriller']",That Darn Cat! (1965),133.0
tt0059800,sINW75t3g_U,"['Action', 'Adventure', 'Thriller']",Thunderball (1965),159.4
tt0059885,k-umWzR3Z3M,"['Action', 'Adventure', 'War']",Von Ryan's Express (1965),190.7
tt0059896,K9jGTDFAneQ,"['Drama', 'History']",The War Lord (1965),177.2
tt0059903,vTFVJAnv_UA,['Comedy'],What's New Pussycat (1965),184.4
tt0059927,R0DS1JK0FuM,"['Comedy', 'Drama', 'Romance']",The Yellow Rolls,192.8
tt0059930,jjNUV0Y6Dxg,"['Biography', 'Drama']",Young Cassidy (1965),212.8
tt0060153,Yu_d3n1bDTc,"['Adventure', 'Comedy', 'Crime', 'Family']",Batman: The Movie (1966),173.6
tt0060176,2Xz1utzILj4,"['Drama', 'Mystery', 'Thriller']",Blow,128.8
tt0060177,Efc6Y6LCuuc,"['Action', 'Drama', 'Romance', 'War']",The Blue Max (1966),190.0
tt0060182,e1wpbCbPP7U,"['Adventure', 'Drama', 'Family']",Born Free (1966),81.3
tt0060196,Y97bj0mDe8s,['Western'],"The Good, the Bad and the Ugly (1966)",78.1
tt0060218,5AhsTY5_1hE,"['Adventure', 'Drama', 'History', 'War']",Cast a Giant Shadow (1966),211.4
tt0060232,_a4MR7qcTzI,"['Crime', 'Drama', 'Thriller']",The Chase (1966),204.7
tt0060315,s1BCvgyJiG0,"['Action', 'Western']",Django (1966),177.7
tt0060345,XYRnwWmteac,"['Animation', 'Family', 'Fantasy']",How the Grinch Stole Christmas! (TV Movie 1966),65.1
tt0060355,NyG3w3LBsWw,"['Drama', 'Thriller', 'Western']",Duel at Diablo (1966),151.6
tt0060390,7cQ-yGCyjyM,"['Drama', 'Sci-Fi']",Fahrenheit 451 (1966),141.0
tt0060397,dO5E4wkg0hA,"['Adventure', 'Family', 'Sci-Fi']",Fantastic Voyage (1966),210.1
tt0060438,H3PB8IGiCZo,"['Comedy', 'Musical']",A Funny Thing Happened on the Way to the Forum (1966),78.9
tt0060450,i1QkfEeLZAQ,"['Adventure', 'Comedy', 'Crime']",The Troops in New York (1965),204.3
tt0060464,KZHKDE4FjpY,"['Action', 'Adventure', 'Drama', 'Sci-Fi']","Ebirah, Horror of the Deep (1966)",55.0
tt0060472,UHkdux17PBs,"['Drama', 'Sport']",Grand Prix (1966),111.5
tt0060588,MdKmMcwRQqA,"['Action', 'Adventure', 'Drama', 'History', 'War']",Khartoum (1966),131.2
tt0060637,uoFoyHHpw_c,"['Action', 'Drama', 'War']",Lost Command (1966),180.7
tt0060640,R_Q1YqbT4jc,"['Adventure', 'Comedy', 'Family']","Lt. Robin Crusoe, U.S.N. (1966)",56.9
tt0060665,HM7jj9t2CQ8,"['Biography', 'Drama', 'History']",A Man for All Seasons (1966),78.9
tt0060782,gSYmJur0Npw,"['Adventure', 'Fantasy']",One Million Years B.C. (1966),187.5
tt0060862,Zv-ITJBpWvI,"['Action', 'Adventure', 'Western']",The Professionals (1966),191.3
tt0060877,EGkLMDaEnNk,"['Horror', 'Sci-Fi']",Queen of Blood (1966),85.0
tt0060880,FbLIbIXYxHc,"['Crime', 'Drama', 'Mystery', 'Thriller']",The Quiller Memorandum (1966),103.7
tt0060934,bkb5JDAGcFs,"['Adventure', 'Drama', 'Romance', 'War']",The Sand Pebbles (1966),197.7
tt0061074,3Bvy6iL8TZo,['Western'],The Brute and the Beast (1966),90.3
tt0061089,5JX84nAZDX4,"['Drama', 'Romance']",This Property Is Condemned (1966),194.8
tt0061170,0hkIWY0DobM,"['Comedy', 'Romance']",Walk Don't Run (1966),177.1
tt0061313,mHQ4wu7962Q,['Western'],"10,000 Dollars for a Massacre (1967)",199.6
tt0061343,J4Cc4k_oRPI,"['Comedy', 'Drama']",Very Happy Alexander (1968),188.6
tt0061369,H2mDRvkdTJA,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']",Asterix the Gaul (1967),92.5
tt0061385,rY-uQehpXf0,"['Comedy', 'Romance']",Barefoot in the Park (1967),192.4
tt0061405,aa7rrLImVHQ,"['Crime', 'Thriller']",Billion Dollar Brain (1967),163.5
